Series Name,Series Code,Country Name,Country Code,2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019],2020 [YR2020],2021 [YR2021],2022 [YR2022],2023 [YR2023],2024 [YR2024]
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Afghanistan,AFG,327,327,327,327,327,327,327,327,327,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Albania,ALB,1485,1485,1485,1485,1485,1485,1485,1485,1485,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Algeria,DZA,89,89,89,89,89,89,89,89,89,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,American Samoa,ASM,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Andorra,AND,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Angola,AGO,1010,1010,1010,1010,1010,1010,1010,1010,1010,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Antigua and Barbuda,ATG,1030,1030,1030,1030,1030,1030,1030,1030,1030,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Argentina,ARG,591,591,591,591,591,591,591,591,591,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Armenia,ARM,562,562,562,562,562,562,562,562,562,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Aruba,ABW,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Australia,AUS,534,534,534,534,534,534,534,534,534,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Austria,AUT,1110,1110,1110,1110,1110,1110,1110,1110,1110,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Azerbaijan,AZE,447,447,447,447,447,447,447,447,447,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Bahamas, The",BHS,1292,1292,1292,1292,1292,1292,1292,1292,1292,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bahrain,BHR,83,83,83,83,83,83,83,83,83,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bangladesh,BGD,2666,2666,2666,2666,2666,2666,2666,2666,2666,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Barbados,BRB,1422,1422,1422,1422,1422,1422,1422,1422,1422,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Belarus,BLR,618,618,618,618,618,618,618,618,618,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Belgium,BEL,847,847,847,847,847,847,847,847,847,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Belize,BLZ,1705,1705,1705,1705,1705,1705,1705,1705,1705,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Benin,BEN,1039,1039,1039,1039,1039,1039,1039,1039,1039,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bermuda,BMU,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bhutan,BTN,2200,2200,2200,2200,2200,2200,2200,2200,2200,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bolivia,BOL,1146,1146,1146,1146,1146,1146,1146,1146,1146,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bosnia and Herzegovina,BIH,1028,1028,1028,1028,1028,1028,1028,1028,1028,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Botswana,BWA,416,416,416,416,416,416,416,416,416,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Brazil,BRA,1761,1761,1761,1761,1761,1761,1761,1761,1761,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,British Virgin Islands,VGB,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Brunei Darussalam,BRN,2722,2722,2722,2722,2722,2722,2722,2722,2722,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Bulgaria,BGR,608,608,608,608,608,608,608,608,608,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Burkina Faso,BFA,748,748,748,748,748,748,748,748,748,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Burundi,BDI,1274,1274,1274,1274,1274,1274,1274,1274,1274,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cabo Verde,CPV,228,228,228,228,228,228,228,228,228,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cambodia,KHM,1904,1904,1904,1904,1904,1904,1904,1904,1904,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cameroon,CMR,1604,1604,1604,1604,1604,1604,1604,1604,1604,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Canada,CAN,537,537,537,537,537,537,537,537,537,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cayman Islands,CYM,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Central African Republic,CAF,1343,1343,1343,1343,1343,1343,1343,1343,1343,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Chad,TCD,322,322,322,322,322,322,322,322,322,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Channel Islands,CHI,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Chile,CHL,1522,1522,1522,1522,1522,1522,1522,1522,1522,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,China,CHN,645,645,645,645,645,645,645,645,645,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Colombia,COL,3240,3240,3240,3240,3240,3240,3240,3240,3240,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Comoros,COM,900,900,900,900,900,900,900,900,900,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Congo, Dem. Rep.",COD,1543,1543,1543,1543,1543,1543,1543,1543,1543,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Congo, Rep.",COG,1646,1646,1646,1646,1646,1646,1646,1646,1646,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Costa Rica,CRI,2926,2926,2926,2926,2926,2926,2926,2926,2926,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cote d'Ivoire,CIV,1348,1348,1348,1348,1348,1348,1348,1348,1348,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Croatia,HRV,1113,1113,1113,1113,1113,1113,1113,1113,1113,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cuba,CUB,1335,1335,1335,1335,1335,1335,1335,1335,1335,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Curacao,CUW,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Cyprus,CYP,498,498,498,498,498,498,498,498,498,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Czechia,CZE,677,677,677,677,677,677,677,677,677,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Denmark,DNK,703,703,703,703,703,703,703,703,703,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Djibouti,DJI,220,220,220,220,220,220,220,220,220,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Dominica,DMA,2083,2083,2083,2083,2083,2083,2083,2083,2083,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Dominican Republic,DOM,1410,1410,1410,1410,1410,1410,1410,1410,1410,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Ecuador,ECU,2274,2274,2274,2274,2274,2274,2274,2274,2274,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,"Egypt, Arab Rep.",EGY,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,18.1,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,El Salvador,SLV,1784,1784,1784,1784,1784,1784,1784,1784,1784,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Equatorial Guinea,GNQ,2156,2156,2156,2156,2156,2156,2156,2156,2156,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Eritrea,ERI,384,384,384,384,384,384,384,384,384,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Estonia,EST,626,626,626,626,626,626,626,626,626,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Eswatini,SWZ,788,788,788,788,788,788,788,788,788,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Ethiopia,ETH,848,848,848,848,848,848,848,848,848,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Faroe Islands,FRO,..,..,..,..,..,..,..,..,..,..,..
Average precipitation in depth (mm per year),AG.LND.PRCP.MM,Fiji,FJI,2592,2592,2592,2592,2592,2592,2592,2592,2592,..,..
